"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-4.99793767929077","-7.58996009153634E-07"
"2","0.025145","-4.94787216186523","-7.30490796740924E-07"
"3","0.050184","-4.8977255821228","-7.23542427749635E-07"
"4","0.075223","-4.84752178192139","-7.17928912763455E-07"
"5","0.100283","-4.79734182357788","-7.25454697203531E-07"
"6","0.125428","-4.74711656570435","-7.0386886363849E-07"
"7","0.150467","-4.69684839248657","-6.98274618571304E-07"
"8","0.175506","-4.64660167694092","-6.84970984821121E-07"
"9","0.200545","-4.59636688232422","-7.04221008618333E-07"
"10","0.225691","-4.54615116119385","-6.7370103806752E-07"
"11","0.25073","-4.49559688568115","-6.66207313315681E-07"
"12","0.275769","-4.44539785385132","-6.59161230487371E-07"
"13","0.300829","-4.39515113830566","-6.69430107791413E-07"
"14","0.325953","-4.34488534927368","-6.49858009182935E-07"
"15","0.350992","-4.29470062255859","-6.42783390958357E-07"
"16","0.376031","-4.24442052841187","-6.51296147680114E-07"
"17","0.401177","-4.19422149658203","-6.25973711976258E-07"
"18","0.426238","-4.14400100708008","-6.18774436134117E-07"
"19","0.451277","-4.09369468688965","-6.13210943356535E-07"
"20","0.476316","-4.04348134994507","-6.24806546056789E-07"
"21","0.501461","-3.99324178695679","-6.03239755037066E-07"
"22","0.526542","-3.94300222396851","-5.94359732986049E-07"
"23","0.551581","-3.89280796051025","-5.85595500979252E-07"
"24","0.57662","-3.84257316589355","-5.94819425714377E-07"
"25","0.601765","-3.79237174987793","-5.77398054701916E-07"
"26","0.626868","-3.74181747436523","-5.63322771540697E-07"
"27","0.651907","-3.6915397644043","-5.51562322925747E-07"
"28","0.676946","-3.64132165908813","-5.70105555652844E-07"
"29","0.702091","-3.59108448028564","-5.41211989002477E-07"
"30","0.72713","-3.54085922241211","-5.35411118107731E-07"
"31","0.752169","-3.49064350128174","-5.2647993697974E-07"
"32","0.777208","-3.4404730796814","-5.40096039003402E-07"
"33","0.802353","-3.39011907577515","-5.10926383867627E-07"
"34","0.827392","-3.33983898162842","-5.01889815041068E-07"
"35","0.852431","-3.28961372375488","-4.9870919838213E-07"
"36","0.87747","-3.23940753936768","-5.13616896569147E-07"
"37","0.902616","-3.18912982940674","-4.78482149901538E-07"
"38","0.927655","-3.13895702362061","-4.77565777146083E-07"
"39","0.952694","-3.08865070343018","-4.67205893528444E-07"
"40","0.977733","-3.03841352462769","-4.81841823329887E-07"
"41","1.002879","-2.98789739608765","-4.50607302582284E-07"
"42","1.027919","-2.93764352798462","-4.44623111661713E-07"
"43","1.052958","-2.8874135017395","-4.40289142034089E-07"
"44","1.077997","-2.83718109130859","-4.53595987437438E-07"
"45","1.103142","-2.78696537017822","-4.21201576727981E-07"
"46","1.128181","-2.73674726486206","-4.18639899635309E-07"
"47","1.15322","-2.68647193908691","-4.11190399063344E-07"
"48","1.178259","-2.63624906539917","-4.21820885776469E-07"
"49","1.203405","-2.58605003356934","-3.97696851450746E-07"
"50","1.228444","-2.53577709197998","-3.89234656950066E-07"
"51","1.253483","-2.48558044433594","-3.80212185291384E-07"
"52","1.278522","-2.435302734375","-3.95340549630419E-07"
"53","1.303668","-2.38503694534302","-3.63928791102808E-07"
"54","1.328707","-2.33483552932739","-3.61827147798977E-07"
"55","1.353767","-2.28457927703857","-3.49986066794372E-07"
"56","1.378806","-2.23396778106689","-3.67090933650616E-07"
"57","1.403951","-2.1838116645813","-3.38023653512209E-07"
"58","1.42899","-2.13356256484985","-3.32973115746427E-07"
"59","1.454135","-2.08329200744629","-3.20381644769441E-07"
"60","1.479174","-2.03300952911377","-3.36981401005687E-07"
"61","1.50432","-1.98490381240845","-3.035905251636E-07"
"62","1.529359","-1.93463230133057","-3.00273654829653E-07"
"63","1.554398","-1.88439989089966","-2.88726681674234E-07"
"64","1.579437","-1.83413171768188","-3.07073833027971E-07"
"65","1.604583","-1.78389859199524","-2.77477511190227E-07"
"66","1.629622","-1.73362874984741","-2.72791140787376E-07"
"67","1.654661","-1.68336367607117","-2.57741675113721E-07"
"68","1.6797","-1.63313150405884","-2.77063605835792E-07"
"69","1.704846","-1.58286690711975","-2.47378352469241E-07"
"70","1.729885","-1.53262758255005","-2.40827318975789E-07"
"71","1.754925","-1.48236060142517","-2.36384508411902E-07"
"72","1.779964","-1.4320912361145","-2.43489381546169E-07"
"73","1.805109","-1.3818621635437","-2.20626233726762E-07"
"74","1.830148","-1.33158349990845","-2.11725591725553E-07"
"75","1.855187","-1.28135871887207","-2.03736902903984E-07"
"76","1.880226","-1.23109078407288","-2.15189572827512E-07"
"77","1.905372","-1.18081998825073","-1.90410617051384E-07"
"78","1.930411","-1.13058686256409","-1.79850346171406E-07"
"79","1.95545","-1.08031034469604","-1.73836113503967E-07"
"80","1.980489","-1.03007531166077","-1.73817866766512E-07"
"81","2.005592","-0.979808807373047","-1.58094763946792E-07"
"82","2.030631","-0.929528474807739","-1.50490407690995E-07"
"83","2.05567","-0.879301309585571","-1.45108103311031E-07"
"84","2.080709","-0.829035043716431","-1.40290978833946E-07"
"85","2.105791","-0.778793811798096","-1.38753648570855E-07"
"86","2.13083","-0.728525400161743","-1.29645940205592E-07"
"87","2.155869","-0.678287982940674","-1.15415929258234E-07"
"88","2.180908","-0.62801456451416","-1.14469884238133E-07"
"89","2.20597","-0.577743530273438","-1.02071048502239E-07"
"90","2.23103","-0.527498006820679","-1.01213814218681E-07"
"91","2.321365","-0.477227210998535","4.09927380928821E-09"
"92","2.346406","-0.426992893218994","2.00841432373977E-09"
"93","2.371445","-0.376714706420898","4.02723543402317E-09"
"94","2.396484","-0.326439142227173","3.24189675104947E-09"
"95","2.421523","-0.276198863983154","5.66855673511668E-09"
"96","2.446562","-0.225919246673584","5.37264366329282E-09"
"97","2.471601","-0.175682738423347","6.13638162505481E-09"
"98","2.49664","-0.125433668494225","6.7319034791069E-09"
"99","2.521679","-0.075178436934948","7.23294046878209E-09"
"100","2.546718","-0.0249122139066458","7.29264026944065E-09"
"101","2.571756","0.0251433383673429","6.63707266923552E-09"
"102","2.596795","0.075401209294796","9.1436982430082E-09"
"103","2.621834","0.125659137964249","9.46944922475268E-09"
