"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","0.0800958201289177","1.04229211927986E-08","7684584.64257191"
"2","0.02504","0.240220785140991","1.29808661597508E-08","18505759.3372184"
"3","0.050079","0.400370597839355","1.39720679470656E-08","28655070.914069"
"4","0.075119","0.56047511100769","1.59699684587622E-08","35095567.8124822"
"5","0.100158","0.720587253570557","1.72601701819985E-08","41748560.1805996"
"6","0.125197","0.880675792694092","1.89515834136955E-08","46469773.7107109"
"7","0.150237","1.12083697319031","2.15762732125313E-08","51947663.1645235"
"8","0.175276","1.20089030265808","2.26870895403408E-08","52932761.6273886"
"9","0.200315","1.36098170280457","2.33252528403227E-08","58347993.5725205"
"10","0.225354","1.5210587978363","2.50806699853001E-08","60646657.3152871"
"11","0.250393","1.68113946914673","2.79522307522484E-08","60143302.4808405"
"12","0.275432","1.84125375747681","3.06296001895134E-08","60113542.0013478"
"13","0.300471","2.00134181976318","3.20567004052918E-08","62431310.5984173"
"14","0.325511","2.16234683990479","3.56526967948412E-08","60650302.3417199"
"15","0.35055","2.32240915298462","3.84547362841658E-08","60393318.9353556"
"16","0.375589","2.48247385025024","4.01258724025411E-08","61867162.0481212"
"17","0.400629","2.64246463775635","4.17716030653992E-08","63259833.0885029"
"18","0.425668","2.80256748199463","4.36510454449035E-08","64203902.8717431"
"19","0.450708","2.88275003433228","4.38944951497433E-08","65674523.0694181"
"20","0.475748","3.04282426834106","4.66017375799765E-08","65294223.485102"
"21","0.500787","3.12299966812134","4.67766056999608E-08","66764136.0759093"
"22","0.525826","3.2830810546875","4.87428444273519E-08","67355138.8569603"
"23","0.550866","3.44315528869629","5.03306623045319E-08","68410689.0519949"
"24","0.575905","3.60320568084717","5.223112253816E-08","68985798.2319769"
"25","0.600945","3.6833667755127","5.33235073874039E-08","69075853.3333609"
"26","0.625984","3.76324892044067","5.44058202933684E-08","69169969.3185103"
"27","0.651023","3.84345769882202","5.58832873309711E-08","68776514.0955109"
"28","0.676062","4.00349378585815","5.7682456144903E-08","69405744.0238165"
"29","0.701101","4.16355133056641","5.81028700707975E-08","71658273.085188"
"30","0.726141","4.24371480941772","5.89505901871235E-08","71987656.0344374"
"31","0.751181","4.32387590408325","6.20785272076319E-08","69651715.3124677"
"32","0.776221","4.48395252227783","6.44936548610531E-08","69525483.2733264"
"33","0.80126","4.48395729064941","6.41969464254544E-08","69846893.6658256"
"34","0.826299","4.56380367279053","6.52351772600923E-08","69959243.8385607"
"35","0.851338","4.64398860931396","6.59034000705105E-08","70466601.1821139"
"36","0.876377","4.7242546081543","6.70885000886301E-08","70418247.5672152"
"37","0.901417","4.80407476425171","6.7344657850299E-08","71335647.3639042"
"38","0.926456","4.88426923751831","6.84823078245245E-08","71321621.4914005"
"39","0.951495","4.96417284011841","6.93360462378223E-08","71595845.2994467"
"40","0.976535","4.96419429779053","6.96551296641701E-08","71268179.6979564"
"41","1.001574","5.04435539245605","6.97086690593096E-08","72363386.9435122"
"42","1.026613","5.0443696975708","7.08513496761043E-08","71196522.3052355"
"43","1.051652","5.12425422668457","7.132871360227E-08","71839992.1700185"
"44","1.076691","5.12425661087036","7.16662427180381E-08","71501678.0080283"
"45","1.101731","5.20441055297852","7.17535613148357E-08","72531738.6010004"
