Run History Comment: 32 degreee
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","5.0018835067749","1.31721139950969E-06","3797327.8310807"
"2","0.025039","5.00182151794434","1.32524849050242E-06","3774251.81299251"
"3","0.050078","5.0017786026001","1.3151418443158E-06","3803223.67828107"
"4","0.075117","5.00162839889526","1.31981369122514E-06","3789647.30563784"
"5","0.100156","5.00154972076416","1.31153933580208E-06","3813495.77876399"
"6","0.125195","5.00143766403198","1.32195350488473E-06","3783368.81407042"
"7","0.150234","5.0014066696167","1.32839682009944E-06","3764994.46094903"
"8","0.175273","5.00137805938721","1.33105993427307E-06","3757440.1652459"
"9","0.200312","5.00137090682983","1.33205412566895E-06","3754630.39410518"
"10","0.225351","5.00137090682983","1.33127809931466E-06","3756819.03683726"
"11","0.250391","5.00134229660034","1.33674734570377E-06","3741426.76450742"
"12","0.27543","5.00133991241455","1.33132334667607E-06","3756668.07383904"
"13","0.300469","5.00137329101563","1.33584262584918E-06","3743983.9051672"
"14","0.325508","5.00137090682983","1.33549451675208E-06","3744958.02423297"
"15","0.350547","5.00135183334351","1.33922333134251E-06","3734516.65326789"
"16","0.375586","5.00135660171509","1.33606192775915E-06","3743356.87426061"
"17","0.400625","5.00134468078613","1.33517380618287E-06","3745837.92583866"
"18","0.425664","5.00130414962769","1.34236336180038E-06","3725745.42180586"
"19","0.450703","5.00133752822876","1.34417177832802E-06","3720757.72521411"
"20","0.475742","5.00134229660034","1.35227912778646E-06","3698454.10894348"
"21","0.500781","5.00137329101563","1.34228707793227E-06","3726008.67075321"
"22","0.52582","5.0013279914856","1.34679078200861E-06","3713515.16382269"
"23","0.550859","5.00135898590088","1.34677645746706E-06","3713577.67517495"
"24","0.575898","5.00131368637085","1.3551842812376E-06","3690504.49862323"
"25","0.600936","5.00133514404297","1.3434492984743E-06","3722756.89877005"
"26","0.625975","5.00134229660034","1.34554261421727E-06","3716970.56916309"
"27","0.651014","5.00136613845825","1.34280196562031E-06","3724574.63312385"
"28","0.676053","5.00133514404297","1.34857532430033E-06","3708606.44854063"
"29","0.701092","5.00135660171509","1.34733079448779E-06","3712048.01536243"
"30","0.726131","5.00135183334351","1.35403388412669E-06","3693668.15112549"
"31","0.75117","5.00135660171509","1.35519019295316E-06","3690520.06701465"
"32","0.776209","5.00135183334351","1.34905099002935E-06","3707311.19157674"
"33","0.801248","5.00133514404297","1.35506263632124E-06","3690851.63297008"
"34","0.826287","5.00133275985718","1.3531255262933E-06","3696133.62742306"
"35","0.851326","5.00134944915771","1.3520538004741E-06","3699075.76710631"
"36","0.876365","5.00130891799927","1.35884522478591E-06","3680558.18777097"
"37","0.901404","5.00131368637085","1.35051607230707E-06","3703261.13766803"
"38","0.926443","5.00133275985718","1.35282277824444E-06","3696960.7847285"
"39","0.951482","5.00133991241455","1.35259142552968E-06","3697598.41591189"
"40","0.976521","5.00134706497192","1.35282039082085E-06","3696977.88332215"
"41","1.00156","5.00133514404297","1.35208836127276E-06","3698970.63482971"
"42","1.026599","5.00136375427246","1.35206698814727E-06","3699050.26756536"
"43","1.051638","5.00135183334351","1.35473965201527E-06","3691743.89035092"
"44","1.076677","5.00135183334351","1.35613197471685E-06","3687953.62589085"
"45","1.101717","5.00131607055664","1.3493621509042E-06","3706429.78773733"
"46","1.126756","5.0013256072998","1.35400773615402E-06","3693720.11234278"
"47","1.151795","5.00133275985718","1.35255925215461E-06","3697681.08265138"
"48","1.176834","5.0013542175293","1.35287041302945E-06","3696846.4749923"
"49","1.201873","5.00132083892822","1.35179868721025E-06","3699752.69708955"
"50","1.226912","5.0013542175293","1.35317793592549E-06","3696006.33054122"
"51","1.251951","5.0013256072998","1.35796540234878E-06","3682955.10227974"
"52","1.27699","5.0013279914856","1.34817241814744E-06","3709709.4734797"
"53","1.302029","5.00132322311401","1.34792082917556E-06","3710398.35193659"
"54","1.327068","5.00131368637085","1.35567188408459E-06","3689177.11216529"
"55","1.352107","5.00133514404297","1.35558718739048E-06","3689423.43994161"
"56","1.377146","5.0013279914856","1.35152095026569E-06","3700518.28682522"
"57","1.402185","5.00134229660034","1.35179755034187E-06","3699771.68203589"
"58","1.427224","5.00128030776978","1.35143511670321E-06","3700718.03370794"
"59","1.452263","5.00135183334351","1.34759898173797E-06","3711305.73792313"
"60","1.477302","5.00128746032715","1.35747188778623E-06","3684265.95447458"
"61","1.502341","5.00134468078613","1.35487789520994E-06","3691361.92897381"
"62","1.52738","5.00132322311401","1.36108872084151E-06","3674501.99721139"
"63","1.552419","5.00136852264404","1.3599693602373E-06","3677559.70750058"
"64","1.577458","5.00133037567139","1.35510674681427E-06","3690727.97211662"
"65","1.602497","5.00134229660034","1.3596688859252E-06","3678353.12580321"
"66","1.627536","5.00132322311401","1.36037226639019E-06","3676437.21257657"
"67","1.652575","5.00134468078613","1.36003734496626E-06","3677358.34556088"
"68","1.677614","5.0013542175293","1.34712331600895E-06","3712617.96013341"
"69","1.702653","5.00130414962769","1.35127186240425E-06","3701182.78103499"
"70","1.727692","5.00134944915771","1.35250797939079E-06","3697833.59903759"
"71","1.752731","5.00133752822876","1.35350944674428E-06","3695088.74892519"
"72","1.77777","5.0013256072998","1.34645461002947E-06","3714440.55376686"
"73","1.802809","5.00129461288452","1.35211462293228E-06","3698868.81486306"
"74","1.827848","5.00130891799927","1.35730499550846E-06","3684734.77556585"
"75","1.852887","5.00134944915771","1.35486720864719E-06","3691394.56415914"
"76","1.877926","5.00133752822876","1.35727520955697E-06","3684836.71772156"
"77","1.902965","5.00133037567139","1.3582337032858E-06","3682231.09437816"
"78","1.928004","5.00131607055664","1.35927791689028E-06","3679391.83621737"
"79","1.953043","5.00135660171509","1.35509969823033E-06","3690766.52311746"
"80","1.978082","5.00130891799927","1.3575064485849E-06","3684187.96331521"
"81","2.003121","5.00133752822876","1.36585947529966E-06","3661677.95345968"
"82","2.02816","5.00133275985718","1.36209246193175E-06","3671801.2173448"
"83","2.053199","5.00132322311401","1.35663265155017E-06","3686571.46604808"
