Run History Comment: 50 degree
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","0.000228071221499704","-3.39052093067949E-08","-6726.73097033489"
"2","0.025039","0.000221753129153512","-3.55662095330445E-08","-6234.93850103656"
"3","0.050078","0.000220918664126657","-3.39109185176767E-08","-6514.67650489912"
"4","0.075118","0.000195622444152832","-3.61676448790149E-08","-5408.76921367737"
"5","0.100158","0.000204396244953386","-3.60207685901059E-08","-5674.3998796719"
"6","0.125197","0.000233387952903286","-3.90105476810731E-08","-5982.68844650236"
"7","0.150236","0.000238776206970215","-3.61225609424309E-08","-6610.16829207531"
"8","0.175275","0.000231075289775617","-3.95151502630142E-08","-5847.76442042033"
"9","0.200314","0.000207066535949707","-3.53988163226404E-08","-5849.53276579678"
"10","0.225353","0.000190567967365496","-3.6832130234643E-08","-5173.95996787213"
"11","0.250392","0.000201153758098371","-3.62761873873296E-08","-5545.06337588909"
"12","0.275431","0.000208330151508562","-3.55749740776901E-08","-5856.08723294084"
"13","0.30047","0.00023806095123291","-3.57157965424904E-08","-6665.42466579722"
"14","0.325509","0.00020656586275436","-3.93922441332961E-08","-5243.82063777273"
"15","0.350548","0.000252771395025775","-3.80861990834092E-08","-6636.82386557406"
"16","0.375588","0.000225710871745832","-3.72753845567786E-08","-6055.22583950878"
"17","0.400627","0.000212669372558594","-3.71812234334357E-08","-5719.80566856088"
"18","0.425666","0.000209879872272722","-3.89647709653218E-08","-5386.40076851762"
"19","0.450705","0.000234413149883039","-3.86348268932579E-08","-6067.40520750065"
"20","0.475744","0.000230169302085415","-3.90808594374903E-08","-5889.56602793164"
"21","0.500783","0.000216770175029524","-3.93687500377382E-08","-5506.14827297619"
"22","0.525822","0.000209951409487985","-3.82651101915599E-08","-5486.75826195044"
"23","0.550862","0.000224852570681833","-3.84086256133287E-08","-5854.22068848523"
"24","0.575901","0.000224065777729265","-3.8003875602044E-08","-5895.86651834042"
"25","0.60094","0.000202751165488735","-3.74396691427137E-08","-5415.4101820687"
"26","0.62598","0.000234079358051531","-3.56139899793106E-08","-6572.67995491422"
"27","0.65102","0.000232076650718227","-3.80725140303184E-08","-6095.64817635674"
"28","0.676059","0.000224161150981672","-3.50887425781821E-08","-6388.40649482418"
"29","0.701098","0.000256347673712298","-3.81221418876976E-08","-6724.37751444979"
"30","0.726137","0.000242114067077637","-3.79578111164847E-08","-6378.50444891669"
"31","0.751176","0.000241780289798044","-3.72132440418227E-08","-6497.1570209336"
"32","0.776215","0.000221276291995309","-3.93443606583332E-08","-5624.09169428052"
"33","0.801255","0.000260043161688372","-3.79464637489946E-08","-6852.89579046118"
"34","0.826294","0.000255417835433036","-4.16129815050681E-08","-6137.93643702094"
"35","0.851333","0.000268459320068359","-4.31956159729907E-08","-6214.96682061951"
"36","0.876372","0.00023550986952614","-3.47650157550561E-08","-6774.33518757686"
"37","0.901412","0.000251412391662598","-3.75467799074158E-08","-6695.97745219534"
"38","0.926451","0.000248503696639091","-3.71221560158119E-08","-6694.21508096788"
"39","0.95149","0.000258255022345111","-3.59839340546841E-08","-7176.9535246659"
"40","0.976529","0.00025629997253418","-3.51716060720264E-08","-7287.1273495249"
"41","1.001568","0.000237250336795114","-3.47612392204155E-08","-6825.14036081243"
"42","1.026607","0.000264954578597099","-3.74755977361474E-08","-7070.05610591061"
"43","1.051647","0.000234603881835938","-3.6698008187841E-08","-6392.82330079342"
"44","1.076686","0.000265026086708531","-3.63986032425601E-08","-7281.21584617955"
"45","1.101726","0.000280618667602539","-3.67962975644787E-08","-7626.27454870445"
"46","1.126765","0.000282955181319267","-3.84505511874522E-08","-7358.93693538533"
"47","1.151805","0.000248527532676235","-3.60381484654226E-08","-6896.23477506588"
"48","1.176844","0.000269198411842808","-3.66515280347812E-08","-7344.80733210759"
"49","1.201883","0.000236606603721157","-3.8374068367375E-08","-6165.79408406735"
"50","1.226922","0.000268602365395054","-3.77923150551851E-08","-7107.32764062841"
"51","1.251961","0.000249838834861293","-3.77470854573403E-08","-6618.75829177984"
"52","1.277","0.000237917905906215","-3.90261405414094E-08","-6096.37290814776"
"53","1.302039","0.000331664079567418","-3.62038363732609E-08","-9161.02028934081"
"54","1.327078","0.000256371509749442","-3.85455507512233E-08","-6651.13105800689"
"55","1.352117","0.00027735234471038","-4.11147844658899E-08","-6745.80563447876"
"56","1.377156","0.000286340713500977","-3.94304038309201E-08","-7261.92698225517"
"57","1.402195","0.000308179849525914","-3.79781859294326E-08","-8114.65429387659"
"58","1.427234","0.000292396551230922","-4.43346976908288E-08","-6595.2079626204"
"59","1.452274","0.000295281410217285","-4.08721554379099E-08","-7224.51280226353"
"60","1.477313","0.000241827961872332","-3.73483892701643E-08","-6474.9234598322"
"61","1.502352","0.000285601621726528","-3.96985164741182E-08","-7194.264347705"
"62","1.527391","0.000270724296569824","-4.00057906801976E-08","-6767.12775742811"
"63","1.55243","0.000272989273071289","-3.66273162910602E-08","-7453.16066571656"
"64","1.577469","0.000237059590290301","-3.90397190130898E-08","-6072.26681654179"
"65","1.602508","0.000230097779422067","-3.90658136950606E-08","-5890.00350071194"
"66","1.627547","0.000282478344161063","-3.9022516773457E-08","-7238.85508976715"
"67","1.652586","0.000248908996582031","-3.81622911049817E-08","-6522.38084703302"
"68","1.677625","0.000231385231018066","-3.9273430729736E-08","-5891.64803580229"
"69","1.702664","0.000248455995460972","-3.81402749383142E-08","-6514.26860091623"
"70","1.727703","0.00025446416111663","-4.06437266065041E-08","-6260.84718018719"
"71","1.752742","0.000259447115240619","-3.9157104225751E-08","-6625.79933758221"
"72","1.777781","0.00025177001953125","-3.87612004715265E-08","-6495.4133635824"
"73","1.80282","0.000219511988689192","-3.4950804916889E-08","-6280.5989507589"
"74","1.827859","0.000238227847148664","-4.15389536101429E-08","-5735.04690042298"
"75","1.852898","0.000264263158896938","-3.9401282236895E-08","-6706.96850189014"
"76","1.877937","0.000237607964663766","-3.81972569130085E-08","-6220.55047578159"
"77","1.902976","0.000243711474468","-3.96933437230018E-08","-6139.85750781616"
"78","1.928015","0.00020556450181175","-4.02549389377782E-08","-5106.56598261123"
"79","1.953054","0.000285649293800816","-3.9190684475443E-08","-7288.70387501918"
"80","1.978093","0.000234341627219692","-3.92512795599487E-08","-5970.29268464435"
"81","2.003132","0.000232672697165981","-3.84037370793067E-08","-6058.5952009174"
"82","2.028171","0.000237178799579851","-4.03529902825994E-08","-5877.60158339802"
"83","2.05321","0.000244832044700161","-4.10249221260983E-08","-5967.8856658794"
"84","2.078249","0.000243973729084246","-3.79822360230264E-08","-6423.36404145187"
"85","2.103288","0.000212764745811","-3.91729351179038E-08","-5431.42210739674"
"86","2.128327","0.000240802764892578","-4.01566637719952E-08","-5996.58293975385"
"87","2.153366","0.000207138058613054","-3.91345267303223E-08","-5292.97466762411"
"88","2.178405","0.000243043905356899","-3.91410246436408E-08","-6209.4415659705"
"89","2.203444","0.00022225380234886","-4.05442612816387E-08","-5481.75735167512"
"90","2.228483","0.000228214266826399","-4.05574809292375E-08","-5626.93396132207"
"91","2.253522","0.000212574013858102","-4.25588027042068E-08","-4994.83068956473"
"92","2.278562","0.000219297406147234","-3.60182177416846E-08","-6088.5135327903"
"93","2.303601","0.000214266779948957","-3.93494126171845E-08","-5445.2345206135"
"94","2.32864","0.00024313926405739","-3.90930168236991E-08","-6219.50629069879"
"95","2.353679","0.000203537943889387","-4.17641885519515E-08","-4873.50409397278"
"96","2.378718","0.000223040580749512","-4.10176745901936E-08","-5437.67005267617"
"97","2.403757","0.000222396847675554","-4.04230604544864E-08","-5501.73206024215"
"98","2.428796","0.000218963628867641","-4.14105763013595E-08","-5287.62573295684"
"99","2.453835","0.000194287305930629","-3.86933436402614E-08","-5021.20746495706"
"100","2.478874","0.000202059745788574","-4.09700149361925E-08","-4931.89338845168"
"101","2.503913","0.000208091732929461","-3.88429874931262E-08","-5357.25355744806"
"102","2.528952","0.000251650810241699","-4.07228704091267E-08","-6179.59411292628"
"103","2.553991","0.000219535824726336","-4.21851638066073E-08","-5204.10032618981"
"104","2.57903","0.00022025108046364","-3.68978021469957E-08","-5969.21951031639"
"105","2.60407","0.000202441224246286","-3.99202235712437E-08","-5071.1445512072"
"106","2.629109","0.000242567068198696","-4.26469561887188E-08","-5687.79321847266"
"107","2.654148","0.000199270245502703","-3.78259308320139E-08","-5268.08570521815"
"108","2.679187","0.000218915942241438","-4.32846682940635E-08","-5057.58622785754"
"109","2.704226","0.00024316311464645","-4.36479687948577E-08","-5571.0064261936"
"110","2.729265","0.000220775604248047","-4.06007529818453E-08","-5437.72191483166"
"111","2.754304","0.000187659272341989","-4.15995842217853E-08","-4511.08528733115"
"112","2.779343","0.000204539304831997","-3.86419074516198E-08","-5293.19897285305"
"113","2.804382","0.000251293182373047","-4.16208862930034E-08","-6037.67014003471"
"114","2.829421","0.000211453443625942","-3.99220354552199E-08","-5296.65988256353"
"115","2.85446","0.000220894813537598","-4.00098798536419E-08","-5521.00666999355"
"116","2.879499","0.000205159187316895","-4.19805168405674E-08","-4887.00956436633"
"117","2.904538","0.000211143502383493","-4.2550958312404E-08","-4962.13271704254"
"118","2.929577","0.000217652326682583","-4.04396196529433E-08","-5382.15563228576"
"119","2.954616","0.000211024293093942","-4.19253467498493E-08","-5033.33447312993"
"120","2.979656","0.000191783910850063","-3.95933028585205E-08","-4843.84724192796"
"121","3.004695","0.000219106674194336","-3.97070287760926E-08","-5518.08284195415"
"122","3.029734","0.000191760060261004","-3.96866433050036E-08","-4831.85385035643"
"123","3.054773","0.0001987934083445","-4.23668744531369E-08","-4692.18961536543"
"124","3.079812","0.000217318534851074","-3.74176494233325E-08","-5807.91520045514"
"125","3.104851","0.000183892247150652","-4.03654816238941E-08","-4555.68073890634"
"126","3.12989","0.000242710113525391","-3.81691585005228E-08","-6358.80179339207"
"127","3.154929","0.000210261350730434","-4.10616536328234E-08","-5120.62550160809"
"128","3.179968","0.00021815299987793","-4.03015256722483E-08","-5413.02087797014"
"129","3.205007","0.000229549405048601","-3.99657622551786E-08","-5743.65136796202"
"130","3.230046","0.000231719022849575","-4.2247151554875E-08","-5484.84369528662"
"131","3.255085","0.000215005871723406","-4.13985858926935E-08","-5193.55594127558"
"132","3.280124","0.000208783152629621","-4.18557526415952E-08","-4988.15908096078"
"133","3.305163","0.000238537788391113","-4.10501606040725E-08","-5810.88563067518"
"134","3.330202","0.000231313708354719","-4.202990666613E-08","-5503.55036931652"
"135","3.355241","0.000190544131328352","-4.17124041973693E-08","-4568.04480573117"
"136","3.38028","0.000211811071494594","-4.21669383854351E-08","-5023.15509744848"
"137","3.405319","0.000192356106708758","-3.93601169434987E-08","-4887.08168689854"
"138","3.430358","0.000220060348510742","-4.08337612611831E-08","-5389.17654690638"
"139","3.455397","0.00020146369934082","-4.24267661003341E-08","-4748.50472610576"
"140","3.480436","0.000195574757526629","-4.4275928701154E-08","-4417.18024361917"
"141","3.505475","0.000199604037334211","-4.10896561220397E-08","-4857.76850361975"
"142","3.530514","0.000221085545490496","-4.3842103281122E-08","-5042.76777217696"
"143","3.555553","0.000172090527485125","-4.44954757483629E-08","-3867.59607782048"
"144","3.580592","0.000188231468200684","-4.13282741362764E-08","-4554.54460982345"
"145","3.605631","0.000177407273440622","-3.87960454872882E-08","-4572.81847189169"
"146","3.63067","0.000203490257263184","-4.17494412374708E-08","-4874.08337049905"
"147","3.655709","0.000215649604797363","-4.19370174142841E-08","-5142.22560624712"
"148","3.680748","0.000207662582397461","-4.49583161810097E-08","-4619.00266819106"
"149","3.705787","0.000208926197956316","-3.92342229815768E-08","-5325.10094705895"
"150","3.730826","0.000238561638980173","-4.54758044554637E-08","-5245.90255932263"
"151","3.755865","0.000207042699912563","-4.09145712865211E-08","-5060.36586483239"
"152","3.780904","0.000221562382648699","-4.18842915905771E-08","-5289.8682115599"
"153","3.805944","0.000214219093322754","-4.25024282435515E-08","-5040.16128432039"
"154","3.830983","0.000188899037311785","-3.93726580227849E-08","-4797.72123087218"
"155","3.856022","0.000252866739174351","-4.65032350405181E-08","-5437.61609174134"
"156","3.881061","0.00022168159193825","-3.76662718792886E-08","-5885.41368385717"
"157","3.9061","0.000219106674194336","-4.19382821803538E-08","-5224.50283614567"
"158","3.931139","0.000233125683735125","-4.09014475621916E-08","-5699.69274023008"
"159","3.956178","0.000223278999328613","-4.3250562242747E-08","-5162.45310466586"
