Run History Comment: group_4_memristor heating cooling
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.0061492919922","-2.06928734769463E-06","4835553.31411075"
"2","0.02504","-9.90557670593262","-2.04579237106373E-06","4841926.70089103"
"3","0.050079","-9.80475616455078","-2.02264550352993E-06","4847491.14337608"
"4","0.075118","-9.70421028137207","-2.00177782971878E-06","4847795.86290822"
"5","0.100157","-9.60373878479004","-1.97944632418512E-06","4851729.83346422"
"6","0.125196","-9.5033073425293","-1.95978986994305E-06","4849146.0683004"
"7","0.150235","-9.40283584594727","-1.93601954379119E-06","4856787.66833844"
"8","0.175274","-9.30244922637939","-1.91488015843788E-06","4857979.85079554"
"9","0.200313","-9.20197486877441","-1.89452521226485E-06","4857140.35854593"
"10","0.225352","-9.10148620605469","-1.87251805527922E-06","4860559.91844498"
"11","0.250391","-9.00067138671875","-1.85231681371079E-06","4859142.51822155"
"12","0.27543","-8.90008926391602","-1.8295967265658E-06","4864508.73828449"
"13","0.30047","-8.79962730407715","-1.80704466856696E-06","4869623.56666895"
"14","0.325509","-8.6990909576416","-1.78621166924131E-06","4870134.43447972"
"15","0.350548","-8.59855175018311","-1.76620835645736E-06","4868367.72045967"
"16","0.375587","-8.49803924560547","-1.7450022369303E-06","4869930.28762798"
"17","0.400626","-8.39751720428467","-1.72407737863978E-06","4870731.04045362"
"18","0.425665","-8.2966947555542","-1.70335044913372E-06","4870809.03390942"
"19","0.450704","-8.19621849060059","-1.68319456861354E-06","4869442.09744679"
"20","0.475743","-8.09565734863281","-1.66284075930889E-06","4868570.428835"
"21","0.500783","-7.99517393112183","-1.64126277013565E-06","4871355.20076472"
"22","0.525822","-7.89463520050049","-1.62163019012951E-06","4868332.64979483"
"23","0.550862","-7.79415845870972","-1.59953947331815E-06","4872751.55675978"
"24","0.575901","-7.69363880157471","-1.57800548095111E-06","4875546.31111772"
"25","0.60094","-7.59317636489868","-1.55678390001412E-06","4877476.16405192"
"26","0.625979","-7.49227285385132","-1.53671146563283E-06","4875523.49377827"
"27","0.651019","-7.39179134368896","-1.51358835864812E-06","4883620.63665119"
"28","0.676058","-7.29119777679443","-1.49188156228774E-06","4887249.73959304"
"29","0.701097","-7.19069957733154","-1.47204866607353E-06","4884824.62778329"
"30","0.726136","-7.09017515182495","-1.45142905694229E-06","4884961.56109879"
"31","0.751175","-6.98966026306152","-1.42842407058197E-06","4893266.9275265"
"32","0.776214","-6.88916921615601","-1.4077579635341E-06","4893717.09811617"
"33","0.801253","-6.78828954696655","-1.38832683660439E-06","4889547.16424667"
"34","0.826292","-6.68777942657471","-1.36812684559118E-06","4888274.39365454"
"35","0.851332","-6.58726692199707","-1.34661070205766E-06","4891738.13332356"
"36","0.876371","-6.48677825927734","-1.32502430005843E-06","4895591.92159064"
"37","0.90141","-6.38626098632813","-1.3074767366561E-06","4884416.53092898"
"38","0.92645","-6.28576040267944","-1.28507610952511E-06","4891352.62580075"
"39","0.95149","-6.18523120880127","-1.26412271583831E-06","4892904.09175148"
"40","0.976529","-6.08473300933838","-1.24328016681829E-06","4894096.41666685"
"41","1.001568","-5.98379850387573","-1.22258654755569E-06","4894376.20251842"
"42","1.026608","-5.88330268859863","-1.20021582006302E-06","4901870.63880703"
"43","1.051648","-5.782790184021","-1.18120908609853E-06","4895653.3200411"
"44","1.076687","-5.68227767944336","-1.1593245972108E-06","4901369.03255074"
"45","1.101726","-5.58176040649414","-1.13876217255893E-06","4901603.2855669"
"46","1.126766","-5.48120737075806","-1.11963743165688E-06","4895519.93867046"
"47","1.151805","-5.38070201873779","-1.09797474578954E-06","4900569.92601281"
"48","1.176844","-5.27985572814941","-1.07744335764437E-06","4900355.72699881"
"49","1.201884","-5.17931699752808","-1.05688332041609E-06","4900557.0411396"
"50","1.226923","-5.07880210876465","-1.03506329196534E-06","4906755.12134257"
"51","1.251962","-4.97828006744385","-1.01416947018151E-06","4908726.02046761"
"52","1.297603","-4.87766981124878","-7.61422654704802E-07","6405995.12125078"
"53","1.322642","-4.77717161178589","-7.71239513142064E-07","6194147.90137435"
"54","1.347788","-4.67657804489136","-7.59017723339639E-07","6161355.52713401"
"55","1.372934","-4.57605123519897","-7.20316052138514E-07","6352838.06547604"
"56","1.397973","-4.47521448135376","-7.0895447379371E-07","6312414.47339529"
"57","1.423013","-4.37468767166138","-6.95281528351188E-07","6291965.90629359"
"58","1.448052","-4.27415370941162","-7.00761177085951E-07","6099301.51551101"
"59","1.473198","-4.17363882064819","-6.65069592287182E-07","6275491.87190321"
"60","1.498237","-4.07313346862793","-6.52256233024673E-07","6244683.08986456"
"61","1.523276","-3.97257804870605","-6.35785681879497E-07","6248297.44036135"
"62","1.548316","-3.87204647064209","-6.38303617961355E-07","6066151.53304131"
"63","1.573441","-3.77120733261108","-6.04689375904854E-07","6236602.59776826"
"64","1.59848","-3.67065668106079","-5.90147635648464E-07","6219895.5978658"
"65","1.623519","-3.57012748718262","-5.93996901443461E-07","6010346.98751276"
"66","1.648643","-3.46962451934814","-5.6032479278656E-07","6192166.69334459"
"67","1.673683","-3.36899280548096","-5.46493197361997E-07","6164747.9268609"
"68","1.698722","-3.26854467391968","-5.29157659912016E-07","6176882.47102601"
"69","1.723761","-3.16804170608521","-5.20708908879897E-07","6084093.53490805"
"70","1.748842","-3.06750059127808","-5.00655403357086E-07","6126969.90926156"
"71","1.773882","-2.96664714813232","-4.86092233131785E-07","6103054.00071684"
"72","1.798921","-2.86613464355469","-4.67850441054907E-07","6126177.06866353"
"73","1.82396","-2.76558637619019","-4.74731564281683E-07","5825579.30474836"
"74","1.849106","-2.66506195068359","-4.41082704583096E-07","6042091.25180405"
"75","1.874167","-2.56450891494751","-4.20924891386676E-07","6092557.05097199"
"76","1.899207","-2.46400356292725","-4.07872903451789E-07","6041106.29089263"
"77","1.924246","-2.36345529556274","-4.14778355661838E-07","5698116.26691927"
"78","1.949392","-2.26264238357544","-3.78127822386887E-07","5983802.96189997"
"79","1.974431","-2.16214895248413","-3.5973226886199E-07","6010439.26174339"
"80","1.99947","-2.0615029335022","-3.43811763059421E-07","5996022.11151196"
"81","2.024509","-1.96097564697266","-3.49456655612812E-07","5611498.92404785"
"82","2.049655","-1.86039638519287","-3.15551744733966E-07","5895693.54706413"
"83","2.074694","-1.75985050201416","-2.9773843834846E-07","5910726.58194877"
"84","2.099733","-1.65930008888245","-2.7977466743323E-07","5930844.64760716"
"85","2.124772","-1.55876541137695","-2.87675732124626E-07","5418480.73128974"
"86","2.149918","-1.45819926261902","-2.51920454275023E-07","5788332.14164934"
"87","2.174957","-1.35765957832336","-2.37861030427666E-07","5707784.8182291"
"88","2.200017","-1.25706505775452","-2.19094388853591E-07","5737550.21446279"
"89","2.225057","-1.15652632713318","-2.24109413693441E-07","5160543.27247133"
"90","2.250203","-1.05596399307251","-1.90755841344981E-07","5535683.65522714"
"91","2.275243","-0.955411911010742","-1.76318280864507E-07","5418677.55473941"
"92","2.300282","-0.854865074157715","-1.58141617134788E-07","5405693.26181287"
"93","2.325321","-0.754267692565918","-1.65863639267627E-07","4547516.83911191"
"94","2.350467","-0.653703927993774","-1.25512713111675E-07","5208268.64297117"
"95","2.375506","-0.553145408630371","-1.08847139301815E-07","5081855.2713323"
"96","2.46587","-0.452582597732544","-9.6607208344146E-11","4684770479.24104"
"97","2.490909","-0.352018356323242","1.65746216751472E-09","-212383946.507253"
"98","2.515948","-0.251417398452759","4.54666615468113E-09","-55297087.9979621"
"99","2.540987","-0.150828152894974","5.3967359470164E-09","-27948032.7323333"
"100","2.566026","-0.0502778999507427","8.18370615718322E-09","-6143658.99569982"
"101","2.591065","0.0503259897232056","9.44941014324741E-09","5325833.98966641"
"102","2.616105","0.150874599814415","1.15271570066966E-08","13088621.9149063"
"103","2.641144","0.251491546630859","1.27049206710694E-08","19794814.3984507"
"104","2.666183","0.352036952972412","1.38896112389375E-08","25345342.4229418"
"105","2.691222","0.452622413635254","1.60265205551013E-08","28242088.6105051"
"106","2.716261","0.553213119506836","1.66482561070325E-08","33229493.5848056"
"107","2.741301","0.653757572174072","1.814503747255E-08","36029552.0559317"
"108","2.76634","0.75434684753418","1.92213889249615E-08","39245178.9243264"
"109","2.79138","0.854876756668091","2.04976320361538E-08","41706122.6955511"
"110","2.816419","0.955450773239136","2.24183320796101E-08","42619172.9985183"
